codigo_iata,lat,lng
UTK,11.222219,169.851429
OCA,25.325399,-80.274803
CSE,38.851918,-106.928341
CUS,31.823898,-107.629924
JCY,30.251801,-98.622498
WLR,55.601299,-131.636993
NUP,60.905591,-162.440454
PTC,55.803,-133.597
ICY,59.966269,-141.660118
PPV,56.3288,-133.610001
KKK,64.4166256967,-156.820392609
MHS,41.263199,-122.272003
NIR,28.362444,-97.661917
GCT,36.257984,-113.231063
ELW,60.893818,-146.704038
LVD,61.3591003418,-155.440002441
HGZ,66.176133,-155.684816
OTN,38.851782,-87.49987
TLF,63.393902,-153.268997
BZT,28.982200622559,-95.579696655273
HBH,57.412201,-133.43848
FAK,57.5321998596,-135.212997437
BYW,48.579162,-122.823844
DRF,60.5889015198,-152.162002563
BDF,41.2308998108,-89.61569976810001
TEH,63.124618,-142.518005
VRS,38.427799224854,-92.875198364258
GDH,59.7470016479,-158.875
ATT,60.866699,-162.272996
LIV,65.467,-148.6534
PDB,59.796925,-154.129994
KOZ,57.942094,-152.464314
TNK,60.569638,-165.246649
WHD,55.903324,-130.009975
MNT,65.147991,-149.368658
TKI,55.937099,-133.326996
WKK,59.2826004028,-158.617996216
WFB,55.349899,-131.677002
RFK,32.953543,-90.845144
NNK,58.735633,-157.02216
BKF,58.554798,-155.776993
BCS,29.866078,-90.021608
MMN,42.460298,-71.519031
SPQ,33.7491989136,-118.275001526
TSS,40.742372,-73.972074
NYS,40.735061,-73.972814
WYB,55.916302,-131.800995
CWS,48.490046,-122.831612
TEK,60.871449,-146.690297
DUF,36.252744,-75.785256
SSW,48.673379,-123.175439
FOB,39.472445,-123.795319
PUL,47.734001159668,-122.64700317383
CCD,34.060798645,-118.417999268
WMK,55.739601,-132.255005
AXB,44.312002,-75.90034
REE,33.590301513672,-102.03700256348
WDN,48.71141,-123.018208
WWP,56.116299,-133.121994
CHU,61.579102,-159.216003
UGS,57.523476,-157.396344
JID,34.020472,-117.927396
PSQ,39.859001159668,-75.299598693848
KLL,59.12606,-156.860906
SGW,56.886299,-134.158005
WTL,60.351243,-162.654476
TWA,59.074713,-160.274992
KCQ,56.255001,-158.774994
AAD,6.095802,46.6375
ABP,-6.06462,141.095173
ACM,-2.143713,-71.75935
ADV,11.4023,26.1186
DST,25.263,55.272
AEE,10.053611,32.959444
AEQ,43.908407,120.15099
AFK,7.284,81.644
BBQ,17.621194,-61.798347
AFT,-9.191389,160.948611
RNA,-9.86054358262,161.979546547
ATD,-8.87333,161.011002
VEV,-7.912779808044434,156.70599365234375
BPF,-8.56202777778,158.119305556
GEF,-7.575829982757568,156.5970001220703
AGG,-4.057077,144.073841
AKS,-8.70257,160.682007
BNY,-11.3022222222,159.798333333
CHY,-6.711944,156.396111
BAS,-6.990745,155.886656
FRE,-8.1075,159.576996
HIR,-9.428,160.054993
MBU,-9.7475,159.839005
AVU,-9.868333,160.410556
IRA,-10.4497003555,161.897994995
SCZ,-10.7203,165.794998
MUA,-8.32797,157.263
GZO,-8.09778022766,156.863998413
MNY,-7.41694,155.565002
PRS,-9.64167022705078,161.4250030517578
RNL,-11.55,160.062778
EGM,-8.57889,157.876007
NNB,-10.847994,162.454108
RUS,-9.86167,160.824997
VAO,-7.58556,158.731003
XYA,-9.092816,159.21841
AGK,-6.396388888890001,143.853611111
KGE,-7.3305,157.585
KUE,-8.0262,156.94783
KWS,-8.360508,160.775127
LLM,-10.296828,166.327322
NAZ,-10.6758,162.2049
MHM,-8.325008,160.80051
GTA,-8.738358,158.202836
RIN,-8.12639045715332,157.14300537109375
RBV,-8.168060302734375,157.64300537109375
TLG,-9.108,160.149166667
AHY,-20.0158333333,45.535
AIC,7.279422,168.8257
CEX,65.0518035889,-146.04699707
SOL,64.5605,-164.4457
HED,55.802346,-160.901346
TWE,65.6792984009,-164.798995972
KTH,59.9631996155,-158.477005005
NKI,55.849602,-133.227994
CDL,65.907699585,-161.925994873
AOS,57.4715003967,-153.815002441
BSW,60.4230995178,-146.145996094
AKM,10.8902777778,19.8172222222
ALZ,56.897294,-154.249692
YUK,39.202272,46.455204
AME,-15.6102777778,37.6813888889
AMY,-17.686667,45.623889
INU,-0.547893,166.919525
ANZ,-25.0325,132.2748
CTV,-9.431359,20.311557
ANL,-11.4723,16.710899
CNZ,-13.7106,19.861099
DRC,-17.981924,20.768061
NDF,-9.280378,14.982432
AOB,-4.90416666667,144.635833333
AOD,11.4773,19.2874
APP,-8.979167,148.103611
AQY,60.968774,-149.119792
QRF,-35.145811,-60.480294
CVI,-46.37428,-67.59409
CNT,-27.2164,-61.2103
VGS,-34.995728,-62.999725
LMD,-40.817699,-68.074699
VCF,-40.700001,-66.150002
CPG,-40.7781,-62.9803
ARP,-9.88333333333,149.483333333
ASZ,-6.009722222220001,150.368611111
WFR,-71.5264,8.799459
LYT,-24.1129,152.7156
GYZ,-28.034548,123.81506
AGW,-12.1456,142.149369
AYD,-19.2908,136.078995
BYX,-13.1981,136.227005
COB,-15.548299789428713,130.96200561523438
CRJ,-31.894399642944336,132.29600524902344
CRY,-15.50189971923828,128.53399658203125
CSD,-17.947999954223633,135.91600036621094
DYM,-23.761699676513672,141.14500427246094
HIS,-20.059999465942383,148.88099670410156
HLV,-15.685799598693848,145.21499633789062
KBD,-17.398577,124.355565
KGR,-25.8428,133.292007
PEP,-14.1442,130.091003
RDA,-18.95330047607422,135.2010040283203
SSK,-19.166400909423828,128.1739959716797
SWB,-21.510299682617188,119.36199951171876
TWP,-17.363300323486328,143.75
ZVG,-17.7869,127.669998
AWR,-4.122278,144.853292
AXF,38.748317,105.58416
AXO,-8.244832,124.219108
AMF,-4.10111111111,141.67
UAE,-6.229978,144.664181
AFR,-9.13867,148.390701
AUP,-9.927715,149.389951
ATP,-3.143611,142.346806
AIH,-7.342777777779999,141.2675
AMU,-3.586,141.214333333
ADC,-7.13722222222,145.744722222
AIE,-5.145699978,144.7307003
KPM,-5.38166666667,143.924722222
AUJ,-4.21566666667,142.823166667
AWB,-8.013414,142.752099
AEK,-7.350805,146.193994
AYU,-6.33805555556,145.904166667
VMU,-7.496955,144.821756
BCP,-5.863611111110001,146.4925
BNM,-9.10777777778,147.666722222
BMZ,-7.8485,143.2433
BDZ,-6.34722222222,146.942222222
BSP,-8.85805555556,141.259444444
BWP,-3.0216666666700003,141.165277778
BUA,-5.422299,154.672698
BAA,-5.3305602073700005,151.007995605
OPU,-8.05000019073,142.932998657
BMH,-6.37316666667,144.637
BPD,-7.743611111110001,147.020555556
BPK,-5.526389,141.744583
BRP,-7.6693,146.7594
BUL,-7.216286671410001,146.649541855
XBN,-9.6425,149.303889
CVB,-4.80662,144.714996
CGC,-5.455231,148.422289
CMU,-6.024290084838867,144.9709930419922
SQT,-10.5627777778,150.690694444
DBP,-6.30861111111,141.905555556
DER,-6.14472222222,147.107222222
BNT,-5.742222222220001,145.2275
MDM,-4.6204,143.4516
KPF,-8.5336,142.5049
DNU,-6.1546,146.6772
DOI,-10.7009,150.7218
DOO,-9.461855,147.920907
DAU,-9.08676,143.207993
KRU,-8.271612,147.071899
EMS,-9.447,148.7628
XYR,-3.883986,141.792234
EMI,-1.653949991,149.9757667
EFG,-9.15380555556,147.659805556
MHY,-8.71411111111,141.644444444
EPT,-5.0412,141.6779
EGA,-6.9179,146.1053
EMO,-9.1234,148.0415
ERU,-8.2538,146.9747
MFZ,-6.1364,149.1183
BOT,-7.237257,141.1063222
ERE,-6.60646315446,143.900213242
SWE,-6.284181,147.582371
FNE,-8.54927777778,147.085833333
FRQ,-5.208,141.6988
FIN,-6.621750109,147.85405
FAQ,-4.610468,141.960138
FUM,-6.3933,142.4408
GKA,-6.081689834590001,145.391998291
GEW,-9.2263,148.4949
GUG,-8.1286,146.8722
GRL,-7.980713,147.213461
GAR,-7.875625,147.141266
GAZ,-9.225918,152.944352
GOE,-5.527716614,151.5733333
GUR,-10.3114995956,150.333999634
GAP,-6.053196,145.959047
PNP,-8.80453968048,148.309005737
GBC,-6.1028,141.7393
GMI,-6.27111005783,150.330993652
AKG,-3.560504,142.217307
GVI,-3.90224289894,141.170516968
GOC,-9.0021,148.2364
HBD,-6.32,142.4893
HNI,-7.4223,146.4276
HYF,-3.69838,143.057902
HNN,-6.2457,142.1771
HKN,-5.463846,150.407327
HIT,-6.9406,143.059
HWA,-7.392994,146.003487
IIS,-4.49972009659,154.225997925
IDN,-6.22663,147.244
