ORIG_1,DEST_1,Año,Pasajeros,lat_h,lng_h,lat_w,lng_w
BOG,SCL,2022,323345.0,4.702,-74.148,-33.393,-70.786
BOG,SCL,2023,353957.0,4.702,-74.148,-33.393,-70.786
BOG,SCL,2024,372663.0,4.702,-74.148,-33.393,-70.786
BOG,SCL,2025,375104.0,4.702,-74.148,-33.393,-70.786
BOG,SCL,2026,73124.0,4.702,-74.148,-33.393,-70.786
CDG,SCL,2022,78275.0,49.009,2.55,-33.393,-70.786
CDG,SCL,2023,110824.0,49.009,2.55,-33.393,-70.786
CDG,SCL,2024,106155.0,49.009,2.55,-33.393,-70.786
CDG,SCL,2025,111580.0,49.009,2.55,-33.393,-70.786
CDG,SCL,2026,18011.0,49.009,2.55,-33.393,-70.786
GRU,SCL,2022,308103.0,-23.435,-46.473,-33.393,-70.786
GRU,SCL,2023,567060.0,-23.435,-46.473,-33.393,-70.786
GRU,SCL,2024,757815.0,-23.435,-46.473,-33.393,-70.786
GRU,SCL,2025,732770.0,-23.435,-46.473,-33.393,-70.786
GRU,SCL,2026,95710.0,-23.435,-46.473,-33.393,-70.786
JFK,SCL,2022,99247.0,40.639,-73.778,-33.393,-70.786
JFK,SCL,2023,78478.0,40.639,-73.778,-33.393,-70.786
JFK,SCL,2024,82040.0,40.639,-73.778,-33.393,-70.786
JFK,SCL,2025,85890.0,40.639,-73.778,-33.393,-70.786
JFK,SCL,2026,12942.0,40.639,-73.778,-33.393,-70.786
LIM,SCL,2022,553049.0,-12.022,-77.115,-33.393,-70.786
LIM,SCL,2023,712752.0,-12.022,-77.115,-33.393,-70.786
LIM,SCL,2024,832823.0,-12.022,-77.115,-33.393,-70.786
LIM,SCL,2025,831692.0,-12.022,-77.115,-33.393,-70.786
LIM,SCL,2026,151937.0,-12.022,-77.115,-33.393,-70.786
MAD,SCL,2022,200088.0,40.472,-3.568,-33.393,-70.786
MAD,SCL,2023,231830.0,40.472,-3.568,-33.393,-70.786
MAD,SCL,2024,316732.0,40.472,-3.568,-33.393,-70.786
MAD,SCL,2025,328119.0,40.472,-3.568,-33.393,-70.786
MAD,SCL,2026,57304.0,40.472,-3.568,-33.393,-70.786
MIA,SCL,2022,225919.0,25.795,-80.287,-33.393,-70.786
MIA,SCL,2023,238263.0,25.795,-80.287,-33.393,-70.786
MIA,SCL,2024,241428.0,25.795,-80.287,-33.393,-70.786
MIA,SCL,2025,237709.0,25.795,-80.287,-33.393,-70.786
MIA,SCL,2026,43918.0,25.795,-80.287,-33.393,-70.786
SCL,BOG,2022,315322.0,-33.393,-70.786,4.702,-74.148
SCL,BOG,2023,360424.0,-33.393,-70.786,4.702,-74.148
SCL,BOG,2024,387650.0,-33.393,-70.786,4.702,-74.148
SCL,BOG,2025,384029.0,-33.393,-70.786,4.702,-74.148
SCL,BOG,2026,73029.0,-33.393,-70.786,4.702,-74.148
SCL,CDG,2022,79928.0,-33.393,-70.786,49.009,2.55
SCL,CDG,2023,112133.0,-33.393,-70.786,49.009,2.55
SCL,CDG,2024,105426.0,-33.393,-70.786,49.009,2.55
SCL,CDG,2025,111495.0,-33.393,-70.786,49.009,2.55
SCL,CDG,2026,18197.0,-33.393,-70.786,49.009,2.55
SCL,GRU,2022,310287.0,-33.393,-70.786,-23.435,-46.473
SCL,GRU,2023,567318.0,-33.393,-70.786,-23.435,-46.473
SCL,GRU,2024,755186.0,-33.393,-70.786,-23.435,-46.473
SCL,GRU,2025,729503.0,-33.393,-70.786,-23.435,-46.473
SCL,GRU,2026,106084.0,-33.393,-70.786,-23.435,-46.473
SCL,JFK,2022,102465.0,-33.393,-70.786,40.639,-73.778
SCL,JFK,2023,83961.0,-33.393,-70.786,40.639,-73.778
SCL,JFK,2024,85585.0,-33.393,-70.786,40.639,-73.778
SCL,JFK,2025,86927.0,-33.393,-70.786,40.639,-73.778
SCL,JFK,2026,14052.0,-33.393,-70.786,40.639,-73.778
SCL,LIM,2022,531702.0,-33.393,-70.786,-12.022,-77.115
SCL,LIM,2023,715744.0,-33.393,-70.786,-12.022,-77.115
SCL,LIM,2024,843768.0,-33.393,-70.786,-12.022,-77.115
SCL,LIM,2025,845203.0,-33.393,-70.786,-12.022,-77.115
SCL,LIM,2026,161944.0,-33.393,-70.786,-12.022,-77.115
SCL,MAD,2022,213058.0,-33.393,-70.786,40.472,-3.568
SCL,MAD,2023,247428.0,-33.393,-70.786,40.472,-3.568
SCL,MAD,2024,328926.0,-33.393,-70.786,40.472,-3.568
SCL,MAD,2025,334264.0,-33.393,-70.786,40.472,-3.568
SCL,MAD,2026,58650.0,-33.393,-70.786,40.472,-3.568
SCL,MIA,2022,228803.0,-33.393,-70.786,25.795,-80.287
SCL,MIA,2023,242272.0,-33.393,-70.786,25.795,-80.287
SCL,MIA,2024,245503.0,-33.393,-70.786,25.795,-80.287
SCL,MIA,2025,232487.0,-33.393,-70.786,25.795,-80.287
SCL,MIA,2026,47126.0,-33.393,-70.786,25.795,-80.287
