ORIG_1,DEST_1,Año,Pasajeros,lat_h,lng_h,lat_w,lng_w
ARI,CCP,2022,7958.0,-18.348,-70.501,-22.452,-68.899
ARI,CCP,2023,9454.0,-18.348,-70.501,-22.452,-68.899
ARI,CCP,2024,9202.0,-18.348,-70.501,-22.452,-68.899
ARI,CCP,2025,11261.0,-18.348,-70.501,-22.452,-68.899
ARI,CCP,2026,2178.0,-18.348,-70.501,-22.452,-68.899
ARI,LSC,2022,13762.0,-18.348,-70.501,-30.575,-71.543
ARI,LSC,2023,19413.0,-18.348,-70.501,-30.575,-71.543
ARI,LSC,2024,19186.0,-18.348,-70.501,-30.575,-71.543
ARI,LSC,2025,19511.0,-18.348,-70.501,-30.575,-71.543
ARI,LSC,2026,3947.0,-18.348,-70.501,-30.575,-71.543
ARI,SCL,2022,297452.0,-18.348,-70.501,-33.393,-70.786
ARI,SCL,2023,308840.0,-18.348,-70.501,-33.393,-70.786
ARI,SCL,2024,307257.0,-18.348,-70.501,-33.393,-70.786
ARI,SCL,2025,292939.0,-18.348,-70.501,-33.393,-70.786
ARI,SCL,2026,57410.0,-18.348,-70.501,-33.393,-70.786
CCP,ARI,2022,8199.0,-22.452,-68.899,-18.348,-70.501
CCP,ARI,2023,9665.0,-22.452,-68.899,-18.348,-70.501
CCP,ARI,2024,9252.0,-22.452,-68.899,-18.348,-70.501
CCP,ARI,2025,11147.0,-22.452,-68.899,-18.348,-70.501
CCP,ARI,2026,3056.0,-22.452,-68.899,-18.348,-70.501
CCP,LSC,2022,8598.0,-22.452,-68.899,-30.575,-71.543
CCP,LSC,2023,16972.0,-22.452,-68.899,-30.575,-71.543
CCP,LSC,2024,26304.0,-22.452,-68.899,-30.575,-71.543
CCP,LSC,2025,19865.0,-22.452,-68.899,-30.575,-71.543
CCP,LSC,2026,4844.0,-22.452,-68.899,-30.575,-71.543
CCP,PMC,2022,13222.0,-22.452,-68.899,-41.439,-73.094
CCP,PMC,2023,17196.0,-22.452,-68.899,-41.439,-73.094
CCP,PMC,2024,54169.0,-22.452,-68.899,-41.439,-73.094
CCP,PMC,2025,55955.0,-22.452,-68.899,-41.439,-73.094
CCP,PMC,2026,10778.0,-22.452,-68.899,-41.439,-73.094
CCP,PUQ,2022,14296.0,-22.452,-68.899,-53.003,-70.854
CCP,PUQ,2023,19384.0,-22.452,-68.899,-53.003,-70.854
CCP,PUQ,2024,4234.0,-22.452,-68.899,-53.003,-70.854
CCP,PUQ,2025,653.0,-22.452,-68.899,-53.003,-70.854
CCP,SCL,2022,565304.0,-22.452,-68.899,-33.393,-70.786
CCP,SCL,2023,709943.0,-22.452,-68.899,-33.393,-70.786
CCP,SCL,2024,719836.0,-22.452,-68.899,-33.393,-70.786
CCP,SCL,2025,678013.0,-22.452,-68.899,-33.393,-70.786
CCP,SCL,2026,115905.0,-22.452,-68.899,-33.393,-70.786
IPC,SCL,2022,16586.0,-27.165,-109.422,-33.393,-70.786
IPC,SCL,2023,70635.0,-27.165,-109.422,-33.393,-70.786
IPC,SCL,2024,115909.0,-27.165,-109.422,-33.393,-70.786
IPC,SCL,2025,148080.0,-27.165,-109.422,-33.393,-70.786
IPC,SCL,2026,29225.0,-27.165,-109.422,-33.393,-70.786
LSC,ARI,2022,13955.0,-30.575,-71.543,-18.348,-70.501
LSC,ARI,2023,19670.0,-30.575,-71.543,-18.348,-70.501
LSC,ARI,2024,19932.0,-30.575,-71.543,-18.348,-70.501
LSC,ARI,2025,20055.0,-30.575,-71.543,-18.348,-70.501
LSC,ARI,2026,4060.0,-30.575,-71.543,-18.348,-70.501
LSC,CCP,2022,8592.0,-30.575,-71.543,-22.452,-68.899
LSC,CCP,2023,17260.0,-30.575,-71.543,-22.452,-68.899
LSC,CCP,2024,25953.0,-30.575,-71.543,-22.452,-68.899
LSC,CCP,2025,19842.0,-30.575,-71.543,-22.452,-68.899
LSC,CCP,2026,4930.0,-30.575,-71.543,-22.452,-68.899
LSC,SCL,2022,383977.0,-30.575,-71.543,-33.393,-70.786
LSC,SCL,2023,427497.0,-30.575,-71.543,-33.393,-70.786
LSC,SCL,2024,460298.0,-30.575,-71.543,-33.393,-70.786
LSC,SCL,2025,401840.0,-30.575,-71.543,-33.393,-70.786
LSC,SCL,2026,81453.0,-30.575,-71.543,-33.393,-70.786
PMC,CCP,2022,13754.0,-41.439,-73.094,-22.452,-68.899
PMC,CCP,2023,17467.0,-41.439,-73.094,-22.452,-68.899
PMC,CCP,2024,53344.0,-41.439,-73.094,-22.452,-68.899
PMC,CCP,2025,59271.0,-41.439,-73.094,-22.452,-68.899
PMC,CCP,2026,10608.0,-41.439,-73.094,-22.452,-68.899
PMC,PUQ,2022,102794.0,-41.439,-73.094,-53.003,-70.854
PMC,PUQ,2023,101370.0,-41.439,-73.094,-53.003,-70.854
PMC,PUQ,2024,105793.0,-41.439,-73.094,-53.003,-70.854
PMC,PUQ,2025,114632.0,-41.439,-73.094,-53.003,-70.854
PMC,PUQ,2026,24639.0,-41.439,-73.094,-53.003,-70.854
PMC,SCL,2022,614432.0,-41.439,-73.094,-33.393,-70.786
PMC,SCL,2023,687459.0,-41.439,-73.094,-33.393,-70.786
PMC,SCL,2024,704190.0,-41.439,-73.094,-33.393,-70.786
PMC,SCL,2025,664349.0,-41.439,-73.094,-33.393,-70.786
PMC,SCL,2026,137101.0,-41.439,-73.094,-33.393,-70.786
PUQ,CCP,2022,14214.0,-53.003,-70.854,-22.452,-68.899
PUQ,CCP,2023,18965.0,-53.003,-70.854,-22.452,-68.899
PUQ,CCP,2024,3860.0,-53.003,-70.854,-22.452,-68.899
