ORIG_1,DEST_1,Año,Pasajeros,lat_h,lng_h,lat_w,lng_w
BOG,SCL,2022,323345.0,4.702,-74.148,-33.393,-70.786
BOG,SCL,2023,353957.0,4.702,-74.148,-33.393,-70.786
BOG,SCL,2024,372663.0,4.702,-74.148,-33.393,-70.786
BOG,SCL,2025,375104.0,4.702,-74.148,-33.393,-70.786
BOG,SCL,2026,73124.0,4.702,-74.148,-33.393,-70.786
CDG,SCL,2022,78275.0,49.009,2.55,-33.393,-70.786
CDG,SCL,2023,110824.0,49.009,2.55,-33.393,-70.786
CDG,SCL,2024,106155.0,49.009,2.55,-33.393,-70.786
CDG,SCL,2025,111580.0,49.009,2.55,-33.393,-70.786
CDG,SCL,2026,18011.0,49.009,2.55,-33.393,-70.786
GRU,SCL,2022,308103.0,-23.435,-46.473,-33.393,-70.786
GRU,SCL,2023,567060.0,-23.435,-46.473,-33.393,-70.786
GRU,SCL,2024,757815.0,-23.435,-46.473,-33.393,-70.786
GRU,SCL,2025,732770.0,-23.435,-46.473,-33.393,-70.786
GRU,SCL,2026,95710.0,-23.435,-46.473,-33.393,-70.786
JFK,SCL,2022,99247.0,40.639,-73.778,-33.393,-70.786
JFK,SCL,2023,78478.0,40.639,-73.778,-33.393,-70.786
JFK,SCL,2024,82040.0,40.639,-73.778,-33.393,-70.786
JFK,SCL,2025,85890.0,40.639,-73.778,-33.393,-70.786
JFK,SCL,2026,12942.0,40.639,-73.778,-33.393,-70.786
LIM,SCL,2022,553049.0,-12.022,-77.115,-33.393,-70.786
LIM,SCL,2023,712752.0,-12.022,-77.115,-33.393,-70.786
LIM,SCL,2024,832823.0,-12.022,-77.115,-33.393,-70.786
LIM,SCL,2025,831692.0,-12.022,-77.115,-33.393,-70.786
LIM,SCL,2026,151937.0,-12.022,-77.115,-33.393,-70.786
MAD,SCL,2022,200088.0,40.472,-3.568,-33.393,-70.786
MAD,SCL,2023,231830.0,40.472,-3.568,-33.393,-70.786
MAD,SCL,2024,316732.0,40.472,-3.568,-33.393,-70.786
MAD,SCL,2025,328119.0,40.472,-3.568,-33.393,-70.786
MAD,SCL,2026,57304.0,40.472,-3.568,-33.393,-70.786
MIA,SCL,2022,225919.0,25.795,-80.287,-33.393,-70.786
MIA,SCL,2023,238263.0,25.795,-80.287,-33.393,-70.786
MIA,SCL,2024,241428.0,25.795,-80.287,-33.393,-70.786
MIA,SCL,2025,237709.0,25.795,-80.287,-33.393,-70.786
MIA,SCL,2026,43918.0,25.795,-80.287,-33.393,-70.786
